;Name;Date;Price
0;Маскарад новогодних костюмов”Карнавальная ночь”;14 декабря в 13:00;200 руб.
1;ЮБИЛЕЙНАЯ ПЕРЕЗАГРУЗКА. ВЕРСИЯ 6.0.;29 ноября в 18:00;300 руб.
2;Сказка в день рождения Деда Мороза “Как Барик с друзьями к Дедушке Морозу ходил”;24 ноября в 11:00;200 руб.
3;Спектакль “Любовный треугольник на четверых”;16 ноября в 15:00;300 руб.
4;Приглашаем всех-всех-всех на концертную программу «Мой маленький ГАВ-ГАВ»!!!!!!!!;28 октября в 11:00;150 руб.
5;Золотой тенор России – Евгений ЮЖИН с новой программой «Песни для любимых: Магомаев, Мартынов, Ободзинский» на сцене ДК «Мир»;17 ноября в 17:00;1000 руб.
6;Государственный ансамбль «Степные напевы» приглашает дорогих земляков на концертную программу «Бохрообой hайн удэроор»;23 октября в 18:30;500 руб.
7;Впервые в городе праздник “Мой маленький ГАВ-ГАВ”!;12 октября в 15:00;300 руб.
8;Представление Большого Санкт-Петербургского цирка с новой программой «ИМПЕРИАЛ»;18 октября в 10:00;800 руб.
9;САМА ВЕЛИКАЯ РАНЕВСКАЯ ПРИГЛАШАЕТ ПОРАЗМЫШЛЯТЬ О ЖИЗНИ! ;17 октября в 19:00;1500 руб.
10;НАВСТРЕЧУ НОВОМУ ГОДУ 2025!;16 декабря в 10:00;400 руб.
11;Приглашаем вас на вечер отдыха, посвящённый Дню пожилого человека “Золотой огонек”;1 октября в 17:00;200 руб.
12;ПРЕМЬЕРА НОВОГО МУЗЫКАЛЬНОГО ШОУ СИНИЙ ТРАКТОР В НАШЕМ ГОРОДЕ!;21 октября в 18:00;500 руб.
13;Впервые в нашем городе❗ Цифровой цирк!;28 сентября в 10:00;650 руб.
14;“ЭТОТ МИР ПРИДУМАН НАМИ” – ОТКРЫТИЕ ЮБИЛЕЙНОГО ТВОРЧЕСКОГО СЕЗОНА;6 сентября в 18:00;Бесплатно
15;Точка притяжения – отчётный концерт творческих коллективов ДК “Мир”!;17 мая;200 руб.
16;Открытие Усольского бульвара – 2024;8 мая в 18:00;Бесплатно
17;*Концерт «ЗОЛОТЫЕ ХИТЫ». Легендарные группы 90-х и 2000-х*;15 июня в 19:00;1300 руб.
18;«РОДИНА В СЕРДЦЕ МОЕМ»;16 апреля в 14:00;250 руб.
19;И будем петь, и будем жить!;10 апреля в 18:00;300 руб.
